timestamp,current,voltage,temperature,segment_id,dV_dt,dT_dt,dI_dt
2023-11-14 22:13:20,-50.0,3.3,25.0,0.0,0.0,0.0,0.0
2023-11-14 22:13:21,-50.0,3.31,25.0,0.0,0.010000000000000231,0.0,0.0
2023-11-14 22:13:22,-50.0,3.31,25.0,0.0,0.0,0.0,0.0
2023-11-14 22:13:23,-50.0,3.316666666666667,25.0,0.0,0.006666666666666821,0.0,0.0
2023-11-14 22:13:24,-50.0,3.3233333333333333,25.0,0.0,0.0066666666666663765,0.0,0.0
2023-11-14 22:13:25,-50.0,3.33,25.0,0.0,0.006666666666666821,0.0,0.0
2023-11-14 22:13:26,-50.0,3.34,25.0,0.0,0.009999999999999787,0.0,0.0
2023-11-14 22:13:27,-50.0,3.34,25.0,0.0,0.0,0.0,0.0
2023-11-14 22:46:40,0.0,3.35,30.0,1.0,0.0,0.0,0.0
2023-11-14 22:46:41,0.0,3.35,30.0,1.0,0.0,0.0,0.0
2023-11-14 22:46:42,10.0,3.3,30.0,1.0,-0.050000000000000266,0.0,10.0
2023-11-14 22:46:43,10.0,3.29,30.0,1.0,-0.009999999999999787,0.0,0.0
